Title,Rating,Year,Actors,Runtime
The Dark Knight,9.0,2008,"Christopher Nolan, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, ",152 min
Inception,8.8,2010,"Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe, ",148 min
Interstellar,8.6,2014,"Christopher Nolan, Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, ",169 min
Whiplash,8.5,2014,"Damien Chazelle, Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, ",106 min
The Intouchables,8.5,2011,"Olivier Nakache, Éric Toledano, François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, ",112 min
The Dark Knight Rises,8.4,2012,"Christopher Nolan, Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, ",164 min
Django Unchained,8.4,2012,"Quentin Tarantino, Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, ",165 min
WALL·E,8.4,2008,"Andrew Stanton, Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, ",98 min
Inglourious Basterds,8.3,2009,"Quentin Tarantino, Eli Roth, Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent, ",153 min
Up,8.3,2009,"Pete Docter, Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, ",96 min
Toy Story 3,8.3,2010,"Lee Unkrich, Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, ",103 min
The Wolf of Wall Street,8.2,2013,"Martin Scorsese, Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, ",180 min
Inside Out,8.2,2015,"Pete Docter, Ronnie Del Carmen, Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling, ",95 min
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,"David Yates, Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon, ",130 min
Guardians of the Galaxy,8.1,2014,"James Gunn, Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana, ",121 min
Mad Max: Fury Road,8.1,2015,"George Miller, Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, ",120 min
Gone Girl,8.1,2014,"David Fincher, Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, ",149 min
Logan,8.1,2017,"James Mangold, Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, ",137 min
The Avengers,8.1,2012,"Joss Whedon, Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner, ",143 min
Shutter Island,8.1,2010,"Martin Scorsese, Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley, ",138 min
The Grand Budapest Hotel,8.1,2014,"Wes Anderson, Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, ",99 min
Prisoners,8.1,2013,"Denis Villeneuve, Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo, ",153 min
