,Rokers,Dagelijkse rokers,Zware rokers,Meeroken > 1 uur per dag   ,Drinkers,Zware drinkers,Overmatige drinkers,Cannabisgebruik afgelopen jaar,Drugsgebruik afgelopen jaar,Lengte en gewicht opgegeven ,Onder en overgewicht,Voldoet aan beweegrichtlijn,Anticonceptiegebruik
Totaal,"21,7","16,1","3,3","7,4","75,5","8,6","8,6","7,1","4,1","77,7","43,1","46,5","71,3"
Mannen,"25,3","18,7","4,0","8,0","79,5","10,5","10,6","9,4","5,1","84,6","45,7","48,0",
Vrouwen,"18,1","13,6","2,7","6,9","71,6","6,8","6,7","4,8","3,0","71,0","40,5","45,0","71,3"
0 - 4 Jaar,.,.,.,"0,6",.,.,.,.,.,.,.,.,.
4 - 12 Jaar,.,.,.,"2,3",.,.,.,.,.,.,"13,1","55,5",.
12 - 16 jaar,"1,6","0,9","0,0","5,4","14,0","0,5","0,8","1,7","0,7",.,"12,6","30,7",.
16 - 20 jaar,"19,3","8,7","1,4","12,4","73,0","16,2","10,0","19,4","5,9",.,"14,3","44,8","96,4"
20 - 30 jaar,"30,9","18,4","2,3","13,4","85,3","14,2","12,9","21,6","15,6","73,6","27,9","54,9","80,2"
30 - 40 jaar,"26,6","19,1","3,4","6,3","79,7","8,4","6,2","8,9","4,8","77,3","41,8","50,6","66,1"
40 - 50 jaar,"25,6","19,9","5,2","8,5","79,5","7,6","7,1","4,7","2,7","80,5","53,4","47,6","63,4"
50 - 55 jaar,"24,7","20,8","6,0","7,9","79,7","8,8","8,5","3,8","2,0","80,4","55,7","48,1",.
55 - 65 jaar,"22,9","19,4","4,1","7,3","80,2","9,6","10,6","2,4","0,8","79,8","58,5","46,9",.
65 - 75 jaar,"15,4","13,6","3,3","8,1","79,1","6,7","10,9","0,3","0,2","79,2","61,2","44,8",.
75 jaar of ouder,"8,6","7,7","0,8","3,9","67,2","2,4","5,3","0,6","0,2","74,2","56,6","24,7",.
Nederlanders,"21,1","15,5","3,3","7,2","80,4","9,6","9,5","6,7","4,2","78,5","43,1","47,6","72,5"
Westers,"24,7","18,5","5,0","9,0","73,8","6,6","7,5","9,4","4,0","75,5","43,2","44,8","62,8"
1e generatie westers,"27,1","21,4","6,2","10,1","68,7","5,9","6,4","7,8","3,7","74,5","43,7","44,8",.
2e generatie westers,"22,8","16,3","4,0","8,3","77,8","7,1","8,3","10,7","4,2","76,3","42,9","44,8",.
Niet-westers,"22,8","17,7","2,5","7,4","43,0","4,2","3,4","7,8","3,0","73,5","42,8","41,2","70,6"
1e generatie niet-westers,"25,2","20,1","3,3","7,7","43,6","4,9","3,3","5,3","2,1","74,7","54,4","39,0",.
2e generatie niet-westers,"18,0","13,2","0,8","6,9","41,8","2,7","3,5","12,7","4,8","70,3","26,6","44,3",.
Basisonderwijs,"28,8","26,0","7,0","12,3","56,6","8,0","9,1","3,3","1,2","78,6","66,3","28,4",.
"VMBO, MBO1, AVO onderbouw","23,7","21,1","5,5","8,9","72,0","8,2","8,2","3,5","1,5","78,7","61,8","38,5","63,2"
"HAVO, VWO, MBO","25,9","20,7","3,8","9,5","81,1","8,2","9,1","5,5","2,5","79,6","53,1","45,7","70,3"
"HBO, WO bachelor","16,6","10,5","2,2","4,0","87,4","7,8","7,8","5,1","4,7","77,7","44,2","53,5","67,6"
"WO, master, doctor","11,6","5,3","1,0","3,0","89,6","6,5","8,0","6,6","4,8","76,4","36,0","57,2","62,3"
Opleiding onbekend,"24,1","23,7","5,0","14,1","51,6","5,7","3,4","3,4","0,0","77,3","58,7","37,0",.
